Date,Province,Confirmed,Recovered,Death,新增确诊,新增治愈,新增死亡,现有确诊,扩散曲线
21/1/20,安徽,1,0,0,0,0,0,1,0
22/1/20,安徽,9,0,0,8,0,0,9,8
23/1/20,安徽,15,0,0,6,0,0,15,0.666666667
24/1/20,安徽,39,0,0,24,0,0,39,1.6
25/1/20,安徽,60,0,0,21,0,0,60,0.538461538
26/1/20,安徽,70,0,0,10,0,0,70,0.166666667
27/1/20,安徽,106,0,0,36,0,0,106,0.514285714
28/1/20,安徽,152,2,0,46,2,0,150,0.433962264
29/1/20,安徽,200,3,0,48,1,0,197,0.32
30/1/20,安徽,237,3,0,37,0,0,234,0.187817259
31/1/20,安徽,297,5,0,60,2,0,292,0.256410256
1/2/20,安徽,340,6,0,43,1,0,334,0.147260274
2/2/20,安徽,408,8,0,68,2,0,400,0.203592814
3/2/20,安徽,480,14,0,72,6,0,466,0.18
4/2/20,安徽,530,20,0,50,6,0,510,0.107296137
5/2/20,安徽,591,23,0,61,3,0,568,0.119607843
6/2/20,安徽,665,47,0,74,24,0,618,0.13028169
7/2/20,安徽,733,59,0,68,12,0,674,0.110032362
8/2/20,安徽,779,72,1,46,13,1,706,0.068249258
9/2/20,安徽,830,89,3,51,17,2,738,0.07223796
10/2/20,安徽,860,108,4,30,19,1,748,0.040650407
11/2/20,安徽,889,128,4,29,20,0,757,0.038770053
12/2/20,安徽,910,166,5,21,38,1,739,0.027741083
13/2/20,安徽,934,196,6,24,30,1,732,0.032476319
14/2/20,安徽,950,232,6,16,36,0,712,0.021857923
15/2/20,安徽,962,266,6,12,34,0,690,0.016853933
16/2/20,安徽,973,293,6,11,27,0,674,0.015942029
17/2/20,安徽,982,361,6,9,68,0,615,0.013353116
18/2/20,安徽,986,424,6,4,63,0,556,0.006504065
19/2/20,安徽,987,500,6,1,76,0,481,0.001798561
20/2/20,安徽,988,567,6,1,67,0,415,0.002079002
21/2/20,安徽,989,620,6,1,53,0,363,0.002409639
22/2/20,安徽,989,648,6,0,28,0,335,0
23/2/20,安徽,989,692,6,0,44,0,291,0
24/2/20,安徽,989,727,6,0,35,0,256,0
25/2/20,安徽,989,764,6,0,37,0,219,0
26/2/20,安徽,989,815,6,0,51,0,168,0
27/2/20,安徽,990,842,6,1,27,0,142,0.005952381
21/1/20,澳门,1,0,0,0,0,0,1,0
22/1/20,澳门,2,0,0,1,0,0,2,1
23/1/20,澳门,2,0,0,0,0,0,2,0
24/1/20,澳门,2,0,0,0,0,0,2,0
25/1/20,澳门,5,0,0,3,0,0,5,1.5
26/1/20,澳门,6,0,0,1,0,0,6,0.2
27/1/20,澳门,7,0,0,1,0,0,7,0.166666667
28/1/20,澳门,7,0,0,0,0,0,7,0
29/1/20,澳门,7,0,0,0,0,0,7,0
30/1/20,澳门,7,0,0,0,0,0,7,0
31/1/20,澳门,7,0,0,0,0,0,7,0
1/2/20,澳门,8,0,0,1,0,0,8,0.142857143
2/2/20,澳门,8,0,0,0,0,0,8,0
3/2/20,澳门,9,0,0,1,0,0,9,0.125
4/2/20,澳门,10,0,0,1,0,0,10,0.111111111
5/2/20,澳门,10,0,0,0,0,0,10,0
6/2/20,澳门,10,1,0,0,1,0,9,0
7/2/20,澳门,10,1,0,0,0,0,9,0
8/2/20,澳门,10,1,0,0,0,0,9,0
9/2/20,澳门,10,1,0,0,0,0,9,0
10/2/20,澳门,10,1,0,0,0,0,9,0
11/2/20,澳门,10,1,0,0,0,0,9,0
12/2/20,澳门,10,2,0,0,1,0,8,0
13/2/20,澳门,10,3,0,0,1,0,7,0
14/2/20,澳门,10,3,0,0,0,0,7,0
15/2/20,澳门,10,3,0,0,0,0,7,0
16/2/20,澳门,10,5,0,0,2,0,5,0
17/2/20,澳门,10,5,0,0,0,0,5,0
18/2/20,澳门,10,5,0,0,0,0,5,0
19/2/20,澳门,10,5,0,0,0,0,5,0
20/2/20,澳门,10,6,0,0,1,0,4,0
21/2/20,澳门,10,6,0,0,0,0,4,0
22/2/20,澳门,10,6,0,0,0,0,4,0
23/2/20,澳门,10,6,0,0,0,0,4,0
24/2/20,澳门,10,6,0,0,0,0,4,0
25/2/20,澳门,10,7,0,0,1,0,3,0
26/2/20,澳门,10,7,0,0,0,0,3,0
27/2/20,澳门,10,8,0,0,1,0,2,0
21/1/20,北京,10,0,0,0,0,0,10,0
22/1/20,北京,22,0,0,12,0,0,22,1.2
23/1/20,北京,36,0,0,14,0,0,36,0.636363636
24/1/20,北京,41,1,0,5,1,0,40,0.138888889
25/1/20,北京,54,1,0,13,0,0,53,0.325
26/1/20,北京,80,1,1,26,0,1,78,0.490566038
27/1/20,北京,91,3,1,11,2,0,87,0.141025641
28/1/20,北京,111,3,1,20,0,0,107,0.229885057
29/1/20,北京,114,4,1,3,1,0,109,0.028037383
30/1/20,北京,139,4,1,25,0,0,134,0.229357798
31/1/20,北京,168,4,1,29,0,0,163,0.21641791
1/2/20,北京,191,8,1,23,4,0,182,0.141104294
2/2/20,北京,212,12,1,21,4,0,199,0.115384615
3/2/20,北京,228,23,1,16,11,0,204,0.08040201
4/2/20,北京,253,24,1,25,1,0,228,0.12254902
5/2/20,北京,274,31,1,21,7,0,242,0.092105263
6/2/20,北京,297,33,1,23,2,0,263,0.095041322
7/2/20,北京,315,34,2,18,1,1,279,0.068441065
8/2/20,北京,326,37,2,11,3,0,287,0.039426523
9/2/20,北京,337,44,2,11,7,0,291,0.038327526
10/2/20,北京,342,48,3,5,4,1,291,0.017182131
11/2/20,北京,352,56,3,10,8,0,293,0.034364261
12/2/20,北京,366,68,3,14,12,0,295,0.04778157
13/2/20,北京,372,79,3,6,11,0,290,0.020338983
14/2/20,北京,375,97,4,3,18,1,274,0.010344828
15/2/20,北京,380,105,4,5,8,0,271,0.018248175
16/2/20,北京,381,114,4,1,9,0,263,0.003690037
17/2/20,北京,387,122,4,6,8,0,261,0.022813688
18/2/20,北京,393,145,4,6,23,0,244,0.022988506
19/2/20,北京,395,153,4,2,8,0,238,0.008196721
20/2/20,北京,396,169,4,1,16,0,223,0.004201681
21/2/20,北京,399,178,4,3,9,0,217,0.013452915
22/2/20,北京,399,189,4,0,11,0,206,0
23/2/20,北京,399,198,4,0,9,0,197,0
24/2/20,北京,400,215,4,1,17,0,181,0.005076142
25/2/20,北京,400,235,4,0,20,0,161,0
26/2/20,北京,410,248,5,10,13,1,157,0.062111801
27/2/20,北京,410,257,7,0,9,2,146,0
21/1/20,福建,1,0,0,0,0,0,1,0
22/1/20,福建,5,0,0,4,0,0,5,4
23/1/20,福建,10,0,0,5,0,0,10,1
24/1/20,福建,18,0,0,8,0,0,18,0.8
25/1/20,福建,18,0,0,0,0,0,18,0
26/1/20,福建,59,0,0,41,0,0,59,2.277777778
27/1/20,福建,80,0,0,21,0,0,80,0.355932203
28/1/20,福建,84,0,0,4,0,0,84,0.05
29/1/20,福建,101,0,0,17,0,0,101,0.202380952
30/1/20,福建,120,0,0,19,0,0,120,0.188118812
31/1/20,福建,144,0,0,24,0,0,144,0.2
1/2/20,福建,159,0,0,15,0,0,159,0.104166667
2/2/20,福建,179,0,0,20,0,0,179,0.125786164
3/2/20,福建,194,1,0,15,1,0,193,0.083798883
4/2/20,福建,205,7,0,11,6,0,198,0.056994819
5/2/20,福建,215,11,0,10,4,0,204,0.050505051
6/2/20,福建,224,15,0,9,4,0,209,0.044117647
7/2/20,福建,239,20,0,15,5,0,219,0.071770335
8/2/20,福建,250,24,0,11,4,0,226,0.050228311
9/2/20,福建,261,35,0,11,11,0,226,0.048672566
10/2/20,福建,267,39,0,6,4,0,228,0.026548673
11/2/20,福建,272,46,0,5,7,0,226,0.021929825
12/2/20,福建,279,54,0,7,8,0,225,0.030973451
13/2/20,福建,281,59,0,2,5,0,222,0.008888889
14/2/20,福建,285,66,0,4,7,0,219,0.018018018
15/2/20,福建,287,77,0,2,11,0,210,0.00913242
16/2/20,福建,290,84,0,3,7,0,206,0.014285714
17/2/20,福建,292,91,0,2,7,0,201,0.009708738
18/2/20,福建,293,96,0,1,5,0,197,0.004975124
19/2/20,福建,293,112,1,0,16,1,180,0
20/2/20,福建,293,134,1,0,22,0,158,0
21/2/20,福建,293,150,1,0,16,0,142,0
22/2/20,福建,293,165,1,0,15,0,127,0
23/2/20,福建,293,174,1,0,9,0,118,0
24/2/20,福建,294,188,1,1,14,0,105,0.008474576
25/2/20,福建,294,205,1,0,17,0,88,0
26/2/20,福建,296,225,1,2,20,0,70,0.022727273
27/2/20,福建,296,232,1,0,7,0,63,0
21/1/20,甘肃,0,0,0,0,0,0,0,0
22/1/20,甘肃,2,0,0,2,0,0,2,0
23/1/20,甘肃,2,0,0,0,0,0,2,0
24/1/20,甘肃,4,0,0,2,0,0,4,1
25/1/20,甘肃,7,0,0,3,0,0,7,0.75
26/1/20,甘肃,14,0,0,7,0,0,14,1
27/1/20,甘肃,19,0,0,5,0,0,19,0.357142857
28/1/20,甘肃,24,0,0,5,0,0,24,0.263157895
29/1/20,甘肃,26,0,0,2,0,0,26,0.083333333
30/1/20,甘肃,29,0,0,3,0,0,29,0.115384615
31/1/20,甘肃,40,0,0,11,0,0,40,0.379310345
1/2/20,甘肃,40,3,0,0,3,0,37,0
2/2/20,甘肃,51,3,0,11,0,0,48,0.297297297
3/2/20,甘肃,55,3,0,4,0,0,52,0.083333333
4/2/20,甘肃,57,4,0,2,1,0,53,0.038461538
5/2/20,甘肃,62,4,0,5,0,0,58,0.094339623
6/2/20,甘肃,67,9,0,5,5,0,58,0.086206897
7/2/20,甘肃,71,9,1,4,0,1,61,0.068965517
8/2/20,甘肃,79,13,1,8,4,0,65,0.131147541
9/2/20,甘肃,83,17,2,4,4,1,64,0.061538462
10/2/20,甘肃,86,21,2,3,4,0,63,0.046875
11/2/20,甘肃,86,24,2,0,3,0,60,0
12/2/20,甘肃,87,31,2,1,7,0,54,0.016666667
13/2/20,甘肃,90,39,2,3,8,0,49,0.055555556
14/2/20,甘肃,90,44,2,0,5,0,44,0
15/2/20,甘肃,90,49,2,0,5,0,39,0
16/2/20,甘肃,90,54,2,0,5,0,34,0
17/2/20,甘肃,91,58,2,1,4,0,31,0.029411765
18/2/20,甘肃,91,62,2,0,4,0,27,0
19/2/20,甘肃,91,65,2,0,3,0,24,0
20/2/20,甘肃,91,71,2,0,6,0,18,0
21/2/20,甘肃,91,76,2,0,5,0,13,0
22/2/20,甘肃,91,76,2,0,0,0,13,0
23/2/20,甘肃,91,78,2,0,2,0,11,0
24/2/20,甘肃,91,80,2,0,2,0,9,0
25/2/20,甘肃,91,80,2,0,0,0,9,0
26/2/20,甘肃,91,81,2,0,1,0,8,0
27/2/20,甘肃,91,82,2,0,1,0,7,0
21/1/20,广东,26,0,0,0,0,0,26,0
22/1/20,广东,32,2,0,6,2,0,30,0.230769231
23/1/20,广东,53,2,0,21,0,0,51,0.7
24/1/20,广东,78,2,0,25,0,0,76,0.490196078
25/1/20,广东,98,2,0,20,0,0,96,0.263157895
26/1/20,广东,151,3,0,53,1,0,148,0.552083333
27/1/20,广东,207,4,0,56,1,0,203,0.378378378
28/1/20,广东,277,6,0,70,2,0,271,0.344827586
29/1/20,广东,354,10,0,77,4,0,344,0.284132841
30/1/20,广东,436,11,0,82,1,0,425,0.238372093
31/1/20,广东,535,11,0,99,0,0,524,0.232941176
1/2/20,广东,632,13,0,97,2,0,619,0.185114504
2/2/20,广东,725,19,0,93,6,0,706,0.150242326
3/2/20,广东,797,20,0,72,1,0,777,0.101983003
4/2/20,广东,870,32,0,73,12,0,838,0.093951094
5/2/20,广东,944,49,0,74,17,0,895,0.088305489
6/2/20,广东,1034,88,1,90,39,1,945,0.100558659
7/2/20,广东,1075,97,1,41,9,0,977,0.043386243
8/2/20,广东,1120,127,1,45,30,0,992,0.046059365
9/2/20,广东,1159,163,1,39,36,0,995,0.039314516
10/2/20,广东,1177,181,1,18,18,0,995,0.018090452
11/2/20,广东,1219,241,1,42,60,0,977,0.042211055
12/2/20,广东,1241,284,2,22,43,1,955,0.022517912
13/2/20,广东,1261,332,2,20,48,0,927,0.020942408
14/2/20,广东,1294,386,2,33,54,0,906,0.035598706
15/2/20,广东,1316,436,2,22,50,0,878,0.024282561
16/2/20,广东,1322,473,4,6,37,2,845,0.006833713
17/2/20,广东,1328,530,4,6,57,0,794,0.007100592
18/2/20,广东,1331,571,5,3,41,1,755,0.003778338
19/2/20,广东,1332,619,5,1,48,0,708,0.001324503
20/2/20,广东,1333,664,5,1,45,0,664,0.001412429
21/2/20,广东,1339,720,5,6,56,0,614,0.009036145
22/2/20,广东,1342,740,6,3,20,1,596,0.004885993
23/2/20,广东,1345,772,6,3,32,0,567,0.005033557
24/2/20,广东,1347,805,7,2,33,1,535,0.003527337
25/2/20,广东,1347,841,7,0,36,0,499,0
26/2/20,广东,1347,873,7,0,32,0,467,0
27/2/20,广东,1348,919,7,1,46,0,422,0.002141328
21/1/20,广西,2,0,0,0,0,0,2,0
22/1/20,广西,5,0,0,3,0,0,5,1.5
23/1/20,广西,13,0,0,8,0,0,13,1.6
24/1/20,广西,23,0,0,10,0,0,23,0.769230769
25/1/20,广西,33,0,0,10,0,0,33,0.434782609
26/1/20,广西,46,0,0,13,0,0,46,0.393939394
27/1/20,广西,51,2,0,5,2,0,49,0.108695652
28/1/20,广西,58,2,0,7,0,0,56,0.142857143
29/1/20,广西,78,2,0,20,0,0,76,0.357142857
30/1/20,广西,87,2,0,9,0,0,85,0.118421053
31/1/20,广西,100,2,0,13,0,0,98,0.152941176
1/2/20,广西,111,2,0,11,0,0,109,0.112244898
2/2/20,广西,127,7,0,16,5,0,120,0.146788991
3/2/20,广西,139,7,0,12,0,0,132,0.1
4/2/20,广西,150,10,0,11,3,0,140,0.083333333
5/2/20,广西,168,14,0,18,4,0,154,0.128571429
6/2/20,广西,172,17,0,4,3,0,155,0.025974026
7/2/20,广西,183,17,0,11,0,0,166,0.070967742
8/2/20,广西,195,18,1,12,1,1,176,0.072289157
9/2/20,广西,210,18,1,15,0,0,191,0.085227273
10/2/20,广西,215,30,1,5,12,0,184,0.02617801
11/2/20,广西,222,31,1,7,1,0,190,0.038043478
12/2/20,广西,222,33,2,0,2,1,187,0
13/2/20,广西,226,35,2,4,2,0,189,0.021390374
14/2/20,广西,235,40,2,9,5,0,193,0.047619048
15/2/20,广西,237,46,2,2,6,0,189,0.010362694
16/2/20,广西,238,51,2,1,5,0,185,0.005291005
17/2/20,广西,242,58,2,4,7,0,182,0.021621622
18/2/20,广西,244,76,2,2,18,0,166,0.010989011
19/2/20,广西,245,87,2,1,11,0,156,0.006024096
20/2/20,广西,246,95,2,1,8,0,149,0.006410256
21/2/20,广西,249,99,2,3,4,0,148,0.020134228
22/2/20,广西,249,104,2,0,5,0,143,0
23/2/20,广西,251,107,2,2,3,0,142,0.013986014
24/2/20,广西,252,129,2,1,22,0,121,0.007042254
25/2/20,广西,252,138,2,0,9,0,112,0
26/2/20,广西,252,159,2,0,21,0,91,0
27/2/20,广西,252,166,2,0,7,0,84,0
21/1/20,贵州,1,0,0,0,0,0,1,0
22/1/20,贵州,3,0,0,2,0,0,3,2
23/1/20,贵州,3,0,0,0,0,0,3,0
24/1/20,贵州,4,0,0,1,0,0,4,0.333333333
25/1/20,贵州,5,0,0,1,0,0,5,0.25
26/1/20,贵州,7,0,0,2,0,0,7,0.4
27/1/20,贵州,9,0,0,2,0,0,9,0.285714286
28/1/20,贵州,9,1,0,0,1,0,8,0
29/1/20,贵州,12,1,0,3,0,0,11,0.375
30/1/20,贵州,29,2,0,17,1,0,27,1.545454545
31/1/20,贵州,29,2,0,0,0,0,27,0
1/2/20,贵州,38,2,0,9,0,0,36,0.333333333
2/2/20,贵州,46,2,0,8,0,0,44,0.222222222
3/2/20,贵州,56,2,0,10,0,0,54,0.227272727
4/2/20,贵州,64,5,0,8,3,0,59,0.148148148
5/2/20,贵州,69,6,1,5,1,1,62,0.084745763
6/2/20,贵州,83,6,1,14,0,0,76,0.225806452
7/2/20,贵州,89,6,1,6,0,0,82,0.078947368
8/2/20,贵州,96,7,1,7,1,0,88,0.085365854
9/2/20,贵州,109,7,1,13,0,0,101,0.147727273
10/2/20,贵州,127,13,1,18,6,0,113,0.178217822
11/2/20,贵州,131,17,1,4,4,0,113,0.03539823
12/2/20,贵州,135,20,1,4,3,0,114,0.03539823
13/2/20,贵州,140,28,1,5,8,0,111,0.043859649
14/2/20,贵州,143,33,1,3,5,0,109,0.027027027
15/2/20,贵州,144,37,1,1,4,0,106,0.009174312
16/2/20,贵州,146,47,1,2,10,0,98,0.018867925
